date,margin_balance_thousand_ntd
2001-01-05,188898936.0
2001-02-05,219116926.0
2001-03-05,236721299.0
2001-04-06,262090680.0
2001-05-07,239408982.0
2001-06-05,199336691.0
2001-07-05,162649922.0
2001-08-06,141940762.0
2001-09-05,145089938.0
2001-10-05,110577192.0
2001-11-05,116578372.0
2001-12-05,143451315.0
2002-01-07,212419351.0
2002-02-05,246449199.0
2002-03-05,240597119.0
2002-04-08,265344270.0
2002-05-06,263787011.0
2002-06-05,237000030.0
2002-07-05,196138585.0
2002-08-05,202420526.0
2002-09-05,199803864.0
2002-10-07,187657987.0
2002-11-05,203499743.0
2002-12-05,215874392.0
2003-01-06,220165923.0
2003-02-06,237249670.0
2003-03-05,221423187.0
2003-04-07,194215426.0
2003-05-05,169015257.0
2003-06-05,165085481.0
2003-07-07,201089544.0
2003-08-05,230546607.0
2003-09-05,240013482.0
2003-10-06,250406892.0
2003-11-05,267846547.0
2003-12-05,270113849.0
2004-01-05,272547417.0
2004-02-05,282456159.0
2004-03-05,337281164.0
2004-04-05,323063040.0
2004-05-05,336134698.0
2004-06-07,305325243.0
2004-07-05,292803554.0
2004-08-05,258712243.0
2004-09-06,262514687.0
2004-10-05,277822285.0
2004-11-05,265704913.0
2004-12-06,263279718.0
2005-01-05,261850636.0
2005-02-14,241496038.0
2005-03-07,240683609.0
2005-04-06,229786564.0
2005-05-05,202207992.0
2005-06-06,199045102.0
2005-07-05,205334761.0
2005-08-08,223423726.0
2005-09-05,219532907.0
2005-10-05,215659942.0
2005-11-07,201007180.0
2005-12-05,202986567.0
2006-01-05,235063292.0
2006-02-06,237455345.0
2006-03-06,232788800.0
2006-04-06,237190836.0
2006-05-05,259178046.0
2006-06-05,278407315.0
2006-07-05,243771494.0
2006-08-07,234159271.0
2006-09-05,221509142.0
2006-10-05,227262199.0
2006-11-06,239828461.0
2006-12-05,256968484.0
2007-01-05,277921683.0
2007-02-05,281556272.0
2007-03-05,279462727.0
2007-04-09,289098391.0
2007-05-07,280759775.0
2007-06-05,291651897.0
2007-07-05,317263032.0
2007-08-06,390424925.0
2007-09-05,371846504.0
2007-10-05,391166389.0
2007-11-05,409849538.0
2007-12-05,378189069.0
2008-01-07,334346118.0
2008-02-12,297937133.0
2008-03-05,305766672.0
2008-04-07,329947407.0
2008-05-05,349012355.0
2008-06-05,358427077.0
2008-07-07,304968936.0
2008-08-05,265025090.0
2008-09-05,245216643.0
2008-10-06,183959277.0
2008-11-05,138532280.0
2008-12-05,117795112.0
2009-01-05,120159991.0
2009-02-05,121395954.0
2009-03-05,131455366.0
2009-04-06,148132860.0
2009-05-05,160715217.0
2009-06-05,211059522.0
2009-07-06,202858479.0
2009-08-05,207553204.0
2009-09-07,208490056.0
2009-10-05,221048337.0
2009-11-05,234529026.0
2009-12-07,246052442.0
2010-01-05,261711987.0
2010-02-05,263047139.0
2010-03-05,254177488.0
2010-04-06,260861544.0
2010-05-05,263626630.0
2010-06-07,249947766.0
2010-07-05,256081748.0
2010-08-05,264536775.0
2010-09-06,278860947.0
2010-10-05,293986675.0
2010-11-05,290824194.0
2010-12-06,301448233.0
2011-01-05,324753242.0
2011-02-09,317642855.0
2011-03-07,315755135.0
2011-04-06,298643583.0
2011-05-05,296032237.0
2011-06-07,292665055.0
2011-07-05,283389205.0
2011-08-05,276521936.0
2011-09-05,237635657.0
2011-10-05,230537896.0
2011-11-07,233228781.0
2011-12-05,213175308.0
2012-01-05,192726383.0
2012-02-06,190184828.0
2012-03-05,212603340.0
2012-04-05,202439890.0
2012-05-07,191134489.0
2012-06-05,185503912.0
2012-07-05,183677252.0
2012-08-06,182991079.0
2012-09-05,183932905.0
2012-10-05,193919328.0
2012-11-05,175882613.0
2012-12-06,173072709.0
2013-01-07,181996929.0
2013-02-05,177862120.0
2013-03-05,176308570.0
2013-04-08,179800984.0
2013-05-06,177538065.0
2013-06-05,188298223.0
2013-07-05,191927963.0
2013-08-05,185571482.0
2013-09-05,186556625.0
2013-10-07,185176553.0
2013-11-05,187478071.0
2013-12-05,188153164.0
2014-01-06,195704315.0
2014-02-05,194870445.0
2014-03-05,202697018.0
2014-04-07,203107633.0
2014-05-05,198055910.0
2014-06-05,207812433.0
2014-07-07,212140412.0
2014-08-05,216458512.0
2014-09-05,210332097.0
2014-10-06,213704341.0
2014-11-05,199287604.0
2014-12-05,197433810.0
2015-01-05,204246599.0
2015-02-05,208445011.0
2015-03-05,205078345.0
2015-04-07,213888854.0
2015-05-05,216114407.0
2015-06-05,201359226.0
2015-07-06,188111602.0
2015-08-05,157587769.0
2015-09-07,127156791.0
2015-10-05,130907312.0
2015-11-05,140003079.0
2015-12-07,148965243.0
2016-01-05,146277108.0
2016-03-07,135489803.0
2016-04-06,138750427.0
2016-05-05,135113657.0
2016-06-06,129949926.0
2016-07-05,129877625.0
2016-08-05,133675280.0
2016-09-05,135139733.0
2016-10-05,133429975.0
2016-11-07,127701310.0
2016-12-05,129624180.0
2017-01-05,132114191.0
2017-02-06,130447872.0
2017-03-06,174358869.0
2017-04-05,143441886.0
2017-05-05,143381272.0
2017-06-05,142066652.0
2017-07-05,146530180.0
2017-08-07,149543782.0
2017-09-05,156251132.0
2017-10-05,164080318.0
2017-11-06,167560686.0
2017-12-05,175542607.0
2018-01-05,174476468.0
2018-02-05,176131246.0
2018-03-05,166131836.0
2018-04-09,174123852.0
2018-05-07,174860759.0
2018-06-05,184532609.0
2018-07-05,186734528.0
2018-08-06,183954233.0
2018-09-05,172584583.0
2018-10-05,157807736.0
2018-11-05,124846217.0
2018-12-05,126123958.0
2019-01-07,126154518.0
2019-02-11,117815687.0
2019-03-05,122488087.0
2019-04-08,127764482.0
2019-05-06,132380085.0
2019-06-05,124624211.0
2019-07-05,124285598.0
2019-08-05,129602865.0
2019-09-05,132678960.0
2019-10-07,137020642.0
2019-11-05,141395612.0
2019-12-05,141117047.0
2020-01-06,144617307.0
2020-02-05,132099808.0
2020-03-05,136136454.0
2020-04-06,91965082.0
2020-05-05,106589473.0
2020-06-05,117647157.0
2020-07-06,127145160.0
2020-08-05,147657104.0
2020-09-07,154837447.0
2020-10-05,151853642.0
2020-11-05,156529360.0
2020-12-07,171763752.0
2021-01-05,190297027.0
2021-02-05,193416254.0
2021-03-05,210623996.0
2021-04-06,232797142.0
2021-05-05,260221861.0
2021-06-07,246356191.0
2021-07-05,289131431.0
2021-08-05,293619248.0
2021-09-06,268328004.0
2021-10-05,253184668.0
2021-11-05,263063087.0
2021-12-06,278462124.0
2022-01-05,283575969.0
2022-02-07,256188672.0
2022-03-07,273849123.0
2022-04-06,265675623.0
2022-05-05,252497763.0
2022-06-06,242845808.0
2022-07-05,193411080.0
2022-08-05,190023702.0
2022-09-05,195241476.0
2022-10-05,177739062.0
2022-11-07,166888209.0
2022-12-05,167705100.0
2023-01-05,166079190.0
2023-02-06,154012577.0
2023-03-06,164044928.0
2023-04-06,169254982.0
2023-05-05,177498431.0
2023-06-05,184274339.0
2023-07-05,199156773.0
2023-08-07,222303892.0
2023-09-05,219908905.0
2023-10-05,230869278.0
2023-11-06,223981913.0
2023-12-05,237793287.0
2024-01-05,249729179.0
2024-02-05,246644806.0
2024-03-05,258584531.0
2024-04-08,282880501.0
2024-05-06,287756411.0
2024-06-05,300628955.0
2024-07-05,326590178.0
2024-08-05,325855465.0
2024-09-05,309735143.0
2024-10-07,317287794.0
2024-11-05,326831775.0
2024-12-05,141438780.0
2025-01-06,327869937.0
2025-02-05,305710045.0
2025-03-05,326111501.0
2025-04-07,298816467.0
2025-05-05,209350024.0
2025-06-05,222950998.0
2025-07-07,223751199.0
2025-08-05,233410441.0
2025-09-05,261541660.0
2025-10-07,281879913.0
2025-11-05,300318118.0
2025-12-05,322826443.0
2026-01-05,346633323.0
2026-02-05,384045976.0
2026-03-05,376616368.0
2026-04-07,384200709.0
2026-05-05,470389635.0
2026-06-05,572635489.0
